Ukazatel,CasM,Hodnota
P  Máslo [kg],2021-09,131.03
P  Máslo [kg],2021-10,136.88
P  Máslo [kg],2021-11,149.28
P  Máslo [kg],2021-12,154.4
P  Máslo [kg],2022-01,156.86
P  Máslo [kg],2022-02,155.91
P  Máslo [kg],2022-03,156.28
P  Máslo [kg],2022-04,160.75
P  Máslo [kg],2022-05,172.69
P  Máslo [kg],2022-06,178.47
